stop_id,stop_id_to,travel_duration
003106,009318,46.22770715755217
009318,003106,46.22770715755217
003106,009322,45.774198722113795
009322,003106,45.774198722113795
003106,096989,96.05546211521754
096989,003106,96.05546211521754
003106,102825,6.413178355353467
102825,003106,6.413178355353467
003106,CSLM2OVE,43.28370588083285
CSLM2OVE,003106,43.28370588083285
003106,F01749,49.79424229030754
F01749,003106,49.79424229030754
003106,F01751,50.36266555330364
F01751,003106,50.36266555330364
003106,F01752,58.112368525169245
F01752,003106,58.112368525169245
003106,F01754,38.106036104440825
F01754,003106,38.106036104440825
003106,F01755,25.497353752995533
F01755,003106,25.497353752995533
003106,F01756,20.134785860807444
F01756,003106,20.134785860807444
003106,F01757,23.303929913208837
F01757,003106,23.303929913208837
003106,F01792,35.30044564918367
F01792,003106,35.30044564918367
003106,F02755,16.52979056607242
F02755,003106,16.52979056607242
003106,F02756,10.830173114831279
F02756,003106,10.830173114831279
003106,F02757,6.882128706057457
F02757,003106,6.882128706057457
003106,F02758,4.272031768986229
F02758,003106,4.272031768986229
003106,F02759,6.471678131619029
F02759,003106,6.471678131619029
003106,F02760,2.1562547787696604
F02760,003106,2.1562547787696604
003106,F02761,10.11476344618758
F02761,003106,10.11476344618758
003106,F02762,13.888317209132428
F02762,003106,13.888317209132428
